dataset,n,Impacto Optimo,Impacto Conseguido,tiempo
TB-H2-ME-BI,12,16,13.0,147.606
TB-H2-ME-BI,14,12,11.0,210.297
TB-H2-ME-BI,16,20,20.0,239.36
TB-H2-ME-BI,18,27,24.0,296.291
TB-H2-ME-BI,20,25,19.0,373.583
TB-H2-ME-BI,22,26,23.0,466.714
TB-H2-ME-BI,24,33,28.0,581.99
TB-H2-ME-BI,26,38,36.0,708.61
TB-H2-ME-BI,28,48,40.0,799.424
TB-H2-ME-BI,30,47,40.0,911.848
TB-H1-MSE-MI,6,1,1.0,112.683
TB-H1-MSE-MI,8,6,5.0,207.754
TB-H1-MSE-MI,10,3,3.0,351.096
TB-H1-MSE-MI,12,16,16.0,499.187
TB-H1-MSE-MI,14,12,11.0,543.973
TB-H1-MSE-MI,16,20,20.0,589.562
TB-H1-MSE-MI,18,27,23.0,724.04
TB-H1-MSE-MI,20,25,25.0,838.413
TB-H1-MSE-MI,22,26,26.0,1723.12
TB-H1-MSE-MI,24,33,32.0,1779.7
TB-H1-MSE-MI,26,38,34.0,1839.18
TB-H1-MSE-MI,28,48,45.0,1908.35
TB-H1-MSE-MI,30,47,44.0,2949.41
TB-H1-ME-MI,6,1,1.0,80.784
TB-H1-ME-MI,8,6,5.0,124.706
TB-H1-ME-MI,10,3,3.0,219.431
TB-H1-ME-MI,12,16,16.0,296.848
TB-H1-ME-MI,14,12,11.0,414.893
TB-H1-ME-MI,16,20,20.0,471.294
TB-H1-ME-MI,18,27,27.0,587.113
TB-H1-ME-MI,20,25,24.0,738.489
TB-H1-ME-MI,22,26,25.0,948.021
TB-H1-ME-MI,24,33,32.0,1251.49
TB-H1-ME-MI,26,38,32.0,1482.8
TB-H1-ME-MI,28,48,41.0,1595.8
TB-H1-ME-MI,30,47,42.0,1965.74
TB-H2-MSE-MI,6,1,1.0,105.72
TB-H2-MSE-MI,8,6,6.0,147.565
TB-H2-MSE-MI,10,3,3.0,364.023
TB-H2-MSE-MI,12,16,13.0,480.444
TB-H2-MSE-MI,14,12,12.0,646.348
TB-H2-MSE-MI,16,20,20.0,862.717
TB-H2-MSE-MI,18,27,22.0,806.013
TB-H2-MSE-MI,20,25,19.0,1265.61
TB-H2-MSE-MI,22,26,23.0,1600.34
TB-H2-MSE-MI,24,33,27.0,1531.68
TB-H2-MSE-MI,26,38,38.0,1564.48
TB-H2-MSE-MI,28,48,40.0,2380.68
TB-H2-MSE-MI,30,47,42.0,3085.11
TB-H2-ME-MI,6,1,1.0,80.724
TB-H2-ME-MI,8,6,6.0,134.639
TB-H2-ME-MI,10,3,3.0,237.872
TB-H2-ME-MI,12,16,13.0,313.148
TB-H2-ME-MI,14,12,11.0,433.352
TB-H2-ME-MI,16,20,20.0,547.571
TB-H2-ME-MI,18,27,25.0,646.273
TB-H2-ME-MI,20,25,19.0,736.255
TB-H2-ME-MI,22,26,23.0,988.225
TB-H2-ME-MI,24,33,29.0,1202.46
TB-H2-ME-MI,26,38,36.0,1474.73
TB-H2-ME-MI,28,48,40.0,1776.72
TB-H2-ME-MI,30,47,42.0,1911.55
TB-H1-MSE-AI,6,1,1.0,297.013
TB-H1-MSE-AI,8,6,6.0,551.418
TB-H1-MSE-AI,10,3,3.0,910.076
TB-H1-MSE-AI,12,16,16.0,1257.44
TB-H1-MSE-AI,14,12,11.0,1614.03
TB-H1-MSE-AI,16,20,20.0,1610.21
TB-H1-MSE-AI,18,27,23.0,1956.89
TB-H1-MSE-AI,20,25,25.0,2350.18
TB-H1-MSE-AI,22,26,26.0,4701.56
TB-H1-MSE-AI,24,33,32.0,5308.2
TB-H1-MSE-AI,26,38,35.0,6019.75
TB-H1-MSE-AI,28,48,45.0,6533.47
TB-H1-MSE-AI,30,47,44.0,8395.93
TB-H1-ME-AI,6,1,1.0,199.427
TB-H1-ME-AI,8,6,6.0,306.184
TB-H1-ME-AI,10,3,3.0,541.675
TB-H1-ME-AI,12,16,16.0,729.144
TB-H1-ME-AI,14,12,11.0,1097.13
TB-H1-ME-AI,16,20,20.0,1253.72
TB-H1-ME-AI,18,27,27.0,1597.02
TB-H1-ME-AI,20,25,25.0,2012.86
TB-H1-ME-AI,22,26,25.0,2493.17
TB-H1-ME-AI,24,33,32.0,3028.03
TB-H1-ME-AI,26,38,32.0,3674.9
TB-H1-ME-AI,28,48,41.0,4203.24
TB-H1-ME-AI,30,47,44.0,4792.46
TB-H2-MSE-AI,6,1,1.0,281.803
TB-H2-MSE-AI,8,6,6.0,399.93
TB-H2-MSE-AI,10,3,3.0,1002.83
TB-H2-MSE-AI,12,16,16.0,1250.33
TB-H2-MSE-AI,14,12,12.0,1717.79
TB-H2-MSE-AI,16,20,20.0,2340.37
TB-H2-MSE-AI,18,27,27.0,2184.41
TB-H2-MSE-AI,20,25,25.0,3282.74
TB-H2-MSE-AI,22,26,23.0,4414.27
TB-H2-MSE-AI,24,33,29.0,4450.9
TB-H2-MSE-AI,26,38,38.0,3903.72
TB-H2-MSE-AI,28,48,40.0,6454.05
TB-H2-MSE-AI,30,47,44.0,8659.84
TB-H2-ME-AI,6,1,1.0,209.5
TB-H2-ME-AI,8,6,6.0,325.13
TB-H2-ME-AI,10,3,3.0,567.484
TB-H2-ME-AI,12,16,13.0,715.051
TB-H2-ME-AI,14,12,11.0,1086.69
TB-H2-ME-AI,16,20,20.0,1212.27
TB-H2-ME-AI,18,27,26.0,1508.99
TB-H2-ME-AI,20,25,19.0,1895.55
TB-H2-ME-AI,22,26,23.0,2374.8
TB-H2-ME-AI,24,33,32.0,2961.96
TB-H2-ME-AI,26,38,36.0,3566.8
TB-H2-ME-AI,28,48,40.0,4037.57
TB-H2-ME-AI,30,47,44.0,4580.73
